Timestamp,Marker
1676851998.0816333,red
1676852000.7651424,right
1676852000.9549403,right arrow
1676852002.5101883,right
1676852002.7127035,right arrow
1676852004.4607246,right
1676852004.5575335,right arrow
1676852006.1757324,blue
1676852007.9312227,right
1676852033.917914,right arrow
1676852034.680146,red
1676852036.3350365,right
1676852038.6017766,right arrow
1676852039.4610329,blue
1676852040.319683,red
1676852042.000734,right
1676852042.999648,right arrow
1676852045.4854536,blue
1676852046.283556,red
1676852048.0072954,left
1676852048.7256544,left arrow
1676852052.8888106,right
1676852072.5149171,right arrow
